Neighborhood,MEDIAN AGE,AGE 65 AND UP,AGE 50 TO 64,AGE 35 TO 49,AGE 19 TO 34,AGE 11 TO 18,AGE 10 OR LESS,FOREIGN BORN POPULATION,SQUARE MILES,FOUR-YEAR DEGREES,LESS THAN HIGH SCHOOL,HIGH SCHOOL DIPLOMA,SOME COLLEGE,BACHELOR'S DEGREE,MASTERS DEGREE OR HIGHER,DIVERSITY INDEX,ASIAN POPULATION,BLACK POPULATION,LATINO POPULATION,WHITE POPULATION,NON-WHITE POPULATION,SINGLE PARENTS,AVERAGE HOUSEHOLD SIZE,HOMEOWNERS,RENTERS,Median Income,"$20,000 or less","$20,000 to $40,000","$40,000 to $60,000","$60,000 to $125,000","$125,000 and up",NEVER MARRIED MALES,NEVER MARRIED FEMALES,MARRIED MALES,MARRIED FEMALES,WIDOWED MALES,WIDOWED FEMALES,DIVORCED MALES,DIVORCED FEMALES,VETERANS,POPULATION TOTAL,POPULATION PER SQMI
Florence,23,5.9%,7.5%,18.9%,26.6%,15.3%,25.7%,41.3%,2.8,2.8%,65.9%,18.3%,12.9%,1.9%,1.0%,0.434,0.4%,28.1%,69.8%,0.4%,99.6%,28.1%,3.8,34.8%,65.2%,"$29,447",42.2%,25.4%,12.7%,8.4%,1.7%,43.1%,36.2%,48.3%,47.9%,2.8%,9.2%,5.7%,6.7%,4.1%,"43,815","15,661"
University Park,23,4.6%,5.9%,11.7%,55.8%,11.0%,10.9%,42.4%,1.2,23.7%,52.5%,10.5%,13.4%,10.7%,12.9%,0.676,16.1%,7.0%,47.7%,25.5%,74.5%,20.3%,2.7,7.8%,92.2%,"$18,533",56.6%,21.5%,8.4%,7.0%,0.9%,67.2%,61.5%,29.4%,30.7%,0.9%,4.9%,2.5%,2.8%,1.0%,"23,596","20,217"
Broadway-Manchester,23,5.8%,8.4%,19.2%,25.6%,15.7%,25.3%,35.0%,1.6,3.9%,58.1%,20.8%,17.2%,2.9%,1.0%,0.502,0.4%,39.3%,58.6%,1.0%,99.0%,27.9%,3.7,36.9%,63.1%,"$29,897",40.5%,26.0%,12.0%,9.2%,1.0%,45.5%,40.6%,46.4%,42.8%,2.5%,9.5%,5.6%,7.1%,3.9%,"23,471","15,060"
Maywood,23,4.3%,8.0%,19.1%,29.7%,13.6%,25.4%,55.2%,1.2,2.3%,70.4%,16.3%,10.9%,1.5%,0.8%,0.069,0.2%,0.0%,96.4%,2.8%,97.2%,18.7%,4.1,29.5%,70.5%,"$41,203",29.6%,33.8%,17.1%,14.6%,1.6%,40.8%,31.9%,55.0%,58.0%,1.4%,6.0%,2.8%,4.0%,2.4%,"28,083","23,638"
Lynwood,23,4.1%,8.1%,19.7%,28.1%,16.0%,24.1%,43.6%,4.9,4.5%,61.5%,19.0%,14.9%,2.8%,1.8%,0.309,1.2%,13.3%,82.0%,2.9%,97.1%,19.4%,4.4,47.1%,52.9%,"$48,518",24.4%,29.8%,20.3%,19.8%,1.8%,40.2%,34.0%,53.7%,54.0%,2.0%,6.1%,4.0%,5.9%,3.8%,"69,899","14,264"
Lennox,23,4.1%,6.6%,20.2%,28.4%,15.6%,25.1%,55.1%,1.1,3.0%,69.5%,16.5%,11.0%,2.0%,0.9%,0.197,1.2%,4.2%,89.4%,3.9%,96.1%,22.3%,4.2,28.8%,71.2%,"$37,937",32.5%,31.5%,17.4%,12.1%,2.2%,40.4%,35.6%,55.7%,54.3%,1.4%,5.6%,2.6%,4.4%,2.5%,"22,950","21,557"
Historic South-Central,23,3.9%,7.6%,17.6%,31.8%,14.0%,25.1%,56.3%,2.6,3.2%,74.2%,13.4%,9.2%,2.1%,1.1%,0.229,1.0%,10.1%,87.2%,1.2%,98.8%,24.9%,4.1,20.4%,79.6%,"$30,882",40.5%,28.4%,12.6%,9.0%,1.9%,46.4%,36.7%,49.1%,51.9%,1.1%,6.4%,3.4%,5.0%,2.5%,"49,728","19,474"
South Park,23,5.0%,6.9%,17.9%,30.2%,13.9%,26.2%,49.4%,1.4,3.4%,69.4%,15.1%,12.1%,2.4%,1.0%,0.345,0.1%,19.2%,78.6%,1.0%,99.0%,27.9%,3.9,27.7%,72.3%,"$29,518",41.9%,28.1%,12.0%,7.5%,1.6%,45.5%,39.1%,47.9%,48.4%,2.0%,7.0%,4.6%,5.5%,3.0%,"30,496","21,638"
East Compton,22,3.7%,9.2%,18.7%,26.6%,16.1%,25.7%,41.0%,0.8,3.9%,58.8%,18.3%,19.0%,2.9%,1.0%,0.416,1.0%,22.9%,72.9%,1.3%,98.7%,20.0%,4.4,56.1%,43.9%,"$44,439",29.1%,25.9%,19.9%,16.7%,3.2%,41.1%,35.2%,52.6%,52.9%,2.1%,5.1%,4.2%,6.9%,4.3%,"13,802","16,542"
Cudahy,22,3.8%,7.4%,17.8%,29.4%,15.9%,25.8%,53.1%,1.2,3.0%,67.4%,17.2%,12.4%,2.0%,1.1%,0.117,0.7%,0.2%,93.8%,4.4%,95.6%,23.8%,4.3,17.4%,82.6%,"$39,048",32.9%,32.6%,18.1%,12.2%,2.0%,40.4%,33.6%,54.8%,54.7%,0.9%,6.1%,3.9%,5.7%,1.9%,"24,208","19,697"
Central-Alameda,22,4.4%,6.6%,17.6%,29.8%,15.8%,25.8%,52.7%,2.2,2.8%,75.0%,13.1%,9.1%,1.9%,0.9%,0.267,0.7%,13.3%,84.6%,1.0%,99.0%,26.3%,4.3,29.8%,70.2%,"$31,559",39.0%,28.9%,12.2%,8.5%,2.2%,42.6%,36.2%,51.9%,53.5%,1.9%,5.7%,3.6%,4.6%,1.8%,"40,947","18,760"
Florence-Firestone,22,4.9%,7.3%,18.3%,27.6%,15.6%,26.2%,45.5%,3.6,2.4%,70.9%,16.2%,10.6%,1.6%,0.8%,0.243,0.0%,12.8%,86.1%,0.8%,99.2%,23.0%,4.2,37.6%,62.4%,"$34,408",37.1%,31.1%,14.5%,10.2%,1.5%,43.9%,37.2%,50.4%,49.9%,2.2%,7.4%,3.5%,5.5%,2.1%,"60,154","16,805"
Bell Gardens,22,4.0%,7.5%,18.5%,28.7%,15.2%,26.1%,50.4%,2.5,4.0%,68.7%,15.5%,11.9%,2.2%,1.8%,0.119,0.5%,0.6%,93.7%,4.7%,95.3%,22.0%,4.4,23.8%,76.2%,"$41,532",28.6%,34.3%,18.9%,13.0%,2.0%,41.9%,35.0%,52.9%,53.1%,1.4%,5.7%,3.8%,6.2%,2.3%,"44,054","17,762"
Vernon,21,3.2%,10.6%,16.0%,25.5%,21.3%,23.4%,9.6%,5.2,18.2%,40.9%,13.6%,27.3%,11.4%,6.8%,0.140,0.0%,0.0%,92.6%,2.1%,97.9%,0.0%,3.4,16.0%,84.0%,"$81,279",7.7%,7.7%,30.8%,34.6%,11.5%,8.0%,31.4%,92.0%,68.6%,0.0%,0.0%,0.0%,0.0%,3.8%,94,18
Watts,21,5.2%,7.2%,17.4%,24.6%,17.4%,28.2%,34.0%,2.1,2.9%,64.1%,19.0%,14.1%,1.7%,1.1%,0.482,0.2%,37.1%,61.6%,0.5%,99.5%,38.9%,4.0,33.0%,67.0%,"$25,161",47.8%,21.8%,11.3%,8.9%,0.8%,44.7%,45.3%,46.4%,40.2%,3.4%,8.7%,5.5%,5.7%,3.6%,"36,815","17,346"
